NumberOfPlayers,DeadAgentVoted,DeadAgentAttacked,TeammateAttacked,IncorrectAction,WerewolfWins,VillagerWins,TotalTurns,TotalDays,TotalGames,GameTimeSeconds
35,95,12,3,326,0,1,64,32,1,1.812997
35,74,22,5,318,0,1,51,25,1,1.631996
35,83,23,2,286,0,1,49,24,1,1.82098
35,80,17,2,312,0,1,43,21,1,1.837992
35,98,48,0,273,1,0,83,41,1,2.374998
35,66,22,3,271,0,1,47,23,1,1.522995
35,67,26,3,277,0,1,37,18,1,1.801001
35,71,18,4,256,0,1,40,20,1,1.471997
35,66,5,1,261,0,1,41,20,1,1.418996
35,111,42,1,333,0,1,80,40,1,2.131995
35,79,12,1,285,0,1,39,19,1,1.495997
35,68,17,5,282,1,0,46,23,1,1.736998
35,66,13,6,252,1,0,46,23,1,1.608992
35,89,17,5,278,0,1,69,34,1,1.955993
35,78,20,0,318,1,0,53,26,1,1.621001
35,97,53,5,306,0,1,79,39,1,2.339991
35,70,15,2,284,0,1,49,24,1,1.859994
35,62,16,4,262,0,1,39,19,1,1.716509
35,72,21,4,273,0,1,41,20,1,1.599992
35,89,53,4,309,1,0,75,37,1,2.100999
35,132,28,3,340,0,1,113,56,1,2.699994
35,18,3,2,172,0,1,17,8,1,1.148
35,92,26,4,326,0,1,59,29,1,2.431007
35,74,24,2,307,0,1,47,23,1,2.352998
35,79,27,4,302,0,1,59,29,1,2.28899
35,83,31,6,284,0,1,62,31,1,2.121998
35,79,12,2,332,0,1,54,27,1,1.872
35,66,22,4,315,0,1,39,19,1,2.093515
35,108,48,4,315,0,1,82,41,1,2.374996
35,45,17,3,236,0,1,27,13,1,1.507993
35,85,20,3,320,0,1,64,32,1,2.23404
35,64,15,6,283,0,1,43,21,1,1.585998
35,41,12,3,198,0,1,23,11,1,1.278996
35,91,9,2,377,0,1,57,28,1,2.064002
35,104,51,2,331,1,0,69,34,1,2.376997
35,64,20,4,285,0,1,45,22,1,1.711998
35,87,26,2,289,0,1,51,25,1,2.154995
35,78,19,3,300,0,1,41,20,1,1.886998
35,82,44,0,273,0,1,55,27,1,2.100997
35,95,28,3,282,0,1,67,33,1,2.101993
35,101,31,1,337,1,0,63,31,1,2.119023
35,42,15,1,194,1,0,27,13,1,1.142001
35,59,17,4,242,0,1,34,17,1,1.510998
35,49,11,2,250,0,1,31,15,1,1.341996
35,57,20,3,284,0,1,33,16,1,1.708994
35,66,22,3,279,0,1,63,31,1,1.750992
35,58,13,5,271,0,1,40,20,1,1.528999
35,84,26,2,297,0,1,55,27,1,1.844994
35,81,37,2,341,0,1,60,30,1,1.995002
35,105,38,3,331,0,1,84,42,1,2.319997
35,75,28,8,257,1,0,57,28,1,1.698998
35,53,3,2,244,0,1,27,13,1,1.219002
35,62,20,4,260,0,1,34,17,1,1.871
35,75,12,3,309,0,1,51,25,1,1.983996
35,55,19,1,261,1,0,35,17,1,1.484985
35,56,17,2,257,1,0,37,18,1,1.405999
35,74,30,4,319,0,1,55,27,1,1.833992
35,70,24,6,297,0,1,43,21,1,1.612
35,22,2,2,164,0,1,15,7,1,0.948971
35,69,16,6,294,0,1,50,25,1,1.676925
35,87,37,1,279,0,1,47,23,1,2.019911
35,63,26,3,259,1,0,45,22,1,1.57193
35,61,20,2,296,0,1,47,23,1,1.543927
35,77,17,4,258,1,0,51,25,1,1.557934
35,82,27,5,275,0,1,63,31,1,1.926931
35,89,29,5,294,1,0,69,34,1,2.172914
35,86,25,4,314,0,1,61,30,1,1.825916
35,109,24,0,340,1,0,63,31,1,1.741923
35,60,7,5,272,0,1,35,17,1,1.40394
35,76,12,4,264,0,1,39,19,1,1.647938
35,75,18,2,278,0,1,53,26,1,2.003913
35,89,34,1,296,0,1,55,27,1,1.790924
35,121,48,3,284,1,0,97,48,1,2.687886
35,78,25,3,258,1,0,47,23,1,2.032908
35,64,10,0,259,0,1,41,20,1,1.626932
35,58,25,4,247,0,1,37,18,1,1.431943
35,77,18,4,313,0,1,43,21,1,1.719928
35,68,13,2,277,0,1,39,19,1,1.393938
35,101,27,4,282,1,0,65,32,1,1.806922
35,82,12,4,328,0,1,58,29,1,1.736928
35,110,22,1,347,0,1,77,38,1,2.224904
35,35,6,4,226,0,1,25,12,1,1.191945
35,85,17,1,342,1,0,61,30,1,1.705932
35,65,26,1,279,1,0,59,29,1,1.81192
35,72,18,4,281,0,1,43,21,1,1.685932
35,19,3,4,181,0,1,17,8,1,1.04496
35,59,8,7,242,0,1,30,15,1,1.425945
35,45,15,1,218,0,1,27,13,1,1.542933
35,90,25,3,312,0,1,53,26,1,2.26289
35,135,42,3,320,0,1,97,48,1,2.596892
35,103,25,3,335,0,1,56,28,1,1.758925
35,95,28,2,357,1,0,77,38,1,2.000915
35,81,29,2,325,0,1,69,34,1,2.363897
35,67,28,0,238,1,0,43,21,1,1.73392
35,54,12,2,255,0,1,33,16,1,1.688916
35,41,6,1,232,0,1,25,12,1,1.323945
35,61,9,5,301,0,1,35,17,1,1.524931
35,64,10,3,286,0,1,47,23,1,1.646928
35,57,31,3,241,0,1,33,16,1,1.602932
35,65,29,3,281,0,1,45,22,1,1.465936
35,69,17,3,291,0,1,46,23,1,1.303945
35,93,30,2,326,1,0,61,30,1,1.840919
35,51,17,1,238,0,1,34,17,1,1.640927
35,82,14,3,317,0,1,65,32,1,1.945914
35,79,9,0,310,1,0,60,30,1,2.115954
35,81,22,1,284,1,0,48,24,1,1.798927
35,56,5,1,261,0,1,29,14,1,1.609934
35,84,34,3,291,1,0,57,28,1,2.178903
35,85,31,8,267,0,1,74,37,1,1.708447
35,77,23,3,288,0,1,52,26,1,1.70493
35,64,5,1,290,0,1,34,17,1,1.331943
35,83,27,1,340,0,1,57,28,1,1.924918
35,73,23,2,287,1,0,48,24,1,1.811921
35,82,19,1,291,1,0,63,31,1,1.825923
35,65,15,3,255,0,1,37,18,1,1.420922
35,69,20,7,261,0,1,48,24,1,1.701929
35,89,36,3,306,1,0,66,33,1,2.132909
35,43,14,1,244,1,0,31,15,1,1.405936
35,82,16,3,295,0,1,47,23,1,1.833435
35,47,14,3,254,0,1,33,16,1,1.675928
35,97,13,3,294,0,1,51,25,1,1.747927
35,65,16,1,247,0,1,35,17,1,1.403935
35,56,8,3,279,0,1,35,17,1,1.597932
35,65,22,2,243,0,1,39,19,1,2.344411
35,80,19,2,304,0,1,41,20,1,1.885919
35,65,12,2,276,0,1,40,20,1,1.611932
35,69,10,2,280,0,1,39,19,1,1.652929
35,68,15,6,246,0,1,54,27,1,1.751925
35,81,20,3,335,0,1,51,25,1,1.925917
35,71,16,2,297,0,1,45,22,1,1.912917
35,79,27,2,256,1,0,50,25,1,1.930925
35,75,14,4,277,0,1,54,27,1,1.927918
35,106,23,1,344,1,0,101,50,1,2.535891
35,63,12,3,254,0,1,33,16,1,1.43894
35,66,23,5,271,0,1,48,24,1,1.980917
35,49,25,4,238,0,1,35,17,1,1.57893
35,89,14,2,308,0,1,53,26,1,1.844918
35,74,17,3,272,0,1,39,19,1,1.44894
35,113,46,4,315,1,0,104,52,1,2.58489
35,62,13,2,277,0,1,37,18,1,1.571933
35,74,19,0,308,0,1,47,23,1,1.804921
35,79,24,3,303,1,0,53,26,1,1.93491
35,87,34,4,317,1,0,79,39,1,2.465895
35,110,19,4,335,0,1,79,39,1,2.239898
35,80,30,2,280,0,1,63,31,1,2.044912
35,70,26,2,296,0,1,47,23,1,1.864983
35,109,45,3,330,0,1,75,37,1,2.205905
35,50,27,2,264,0,1,34,17,1,1.351941
35,59,9,4,292,0,1,39,19,1,1.505935
35,85,22,6,356,0,1,55,27,1,2.222947
35,84,21,2,290,0,1,49,24,1,1.778928
35,45,12,3,251,0,1,31,15,1,1.711967
35,75,25,4,291,0,1,48,24,1,2.15791
35,59,17,2,253,1,0,40,20,1,1.558929
35,123,28,1,442,1,0,121,60,1,3.379374
35,59,19,5,287,1,0,42,21,1,1.834914
35,80,28,3,280,0,1,53,26,1,1.952921
35,89,21,3,277,0,1,47,23,1,1.623924
35,32,9,2,187,0,1,19,9,1,1.38494
35,96,21,2,328,0,1,67,33,1,2.143906
35,42,10,2,217,0,1,23,11,1,1.143956
35,66,10,2,280,0,1,39,19,1,1.547484
35,31,10,2,232,0,1,25,12,1,1.166951
35,97,33,4,312,1,0,63,31,1,1.856921
35,71,17,4,304,0,1,49,24,1,1.688917
35,83,22,6,303,1,0,66,33,1,2.031912
